actor,description,genre,public,score,title,year
"Tom Ato,Eric André,Hannibal Buress","Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.","Comedy,Talk-Show",TV-MA,8.6,The Eric Andre Show,2012– 
"Henry Thomas,Michiel Huisman,Carla Gugino","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Drama,Horror,Mystery",TV-MA,8.6,The Haunting of Hill House,2018
"Mel Blanc,June Foray,Daws Butler",TV series featuring the classic Looney Tunes animated shorts.,"Animation,Comedy",TV-G,8.6,The Bugs Bunny Show,1960–1975
"Hyun Bin,Seo Ji-hye,Son Ye-jin",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,"Adventure,Comedy,Romance",TV-14,8.7,Crash Landing on You,2019–2020
"John Gallagher Jr.,Jeff Daniels,Emily Mortimer","A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",Drama,TV-MA,8.6,The Newsroom,2012–2014
"Laura Nirider,Dolores Avery,Steven Avery","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","Documentary,Crime",TV-14,8.6,Making a Murderer,2015–2018
"Kelly Macdonald,Steve Buscemi,Michael Shannon",An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Crime,Drama",TV-MA,8.6,Boardwalk Empire,2010–2014
"Indya Moore,Dominique Jackson,Michaela Jaé (MJ) Rodriguez","In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",Drama,TV-MA,8.6,Pose,2018–2021
"Joelle Carter,Nick Searcy,Timothy Olyphant","U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.","Action,Crime,Drama",TV-MA,8.6,Justified,2010–2015
"Paul Eddington,Derek Fowlds,Nigel Hawthorne","The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",Comedy,TV-PG,8.7,Yes Minister,1980–1984
"Sandi Toksvig,Alan Davies,Stephen Fry","A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","Comedy,Game-Show",TV-PG,8.6,QI,2003– 
"Hugh Fraser,Philip Jackson,David Suchet","The cases of eccentric, but sharp, Belgian detective Hercule Poirot.","Crime,Drama,Mystery",TV-14,8.6,Poirot,1989–2013
"Peter Sarsgaard,Michael Keaton,Michael Stuhlbarg","The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",Drama,TV-MA,8.6,Dopesick,2021
"R.H. Thomson,Geraldine James,Amybeth McNulty","The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","Drama,Family",TV-PG,8.7,Anne with an E,2017–2019
"Matilda Ziegler,Robin Driscoll,Rowan Atkinson","Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.","Comedy,Family",TV-G,8.6,Mr. Bean,1990–1995
"Yasmin Finney,Joe Locke,Kit Connor",Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,"Drama,Romance",TV-14,8.7,Heartstopper,2022– 
"Kaito Ishikawa,Ayumu Murase,Yu Hayashi","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","Animation,Comedy,Drama",TV-14,8.7,Haikyu!!,2014–2020
"Dan Fogler,Miles Teller,Matthew Goode",Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,"Biography,Drama",TV-MA,8.7,The Offer,2022
"Nolan North,Jesse McCartney,Danica McKellar",Teenage superheroes strive to prove themselves as members of the Justice League.,"Animation,Action,Adventure",TV-PG,8.6,Young Justice,2010–2022
"Hugh Laurie,Tony Robinson,Rowan Atkinson","In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",Comedy,TV-PG,8.6,Blackadder the Third,1987
"Kevin Costner,Luke Grimes,Kelly Reilly",A ranching family in Montana faces off against others encroaching on their land.,"Drama,Western",TV-MA,8.7,Yellowstone,2018–2023
"Michael J. Nelson,Joel Hodgson,Trace Beaulieu","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.","Comedy,Sci-Fi",TV-14,8.7,Mystery Science Theater 3000,1988–1999
"Ivana Lotito,Salvatore Esposito,Marco D'Amore",Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,"Crime,Drama,Thriller",TV-MA,8.7,Gomorrah,2014–2021
"Edward Hardwicke,Rosalie Williams,Jeremy Brett","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.","Crime,Drama,Mystery",TV-PG,8.7,The Return of Sherlock Holmes,1986–1988
"Jonathan Groff,Anna Torv,Holt McCallany","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Crime,Drama,Mystery",TV-MA,8.6,Mindhunter,2017–2019
"Mona Singh,Vishesh Bansal,Akarsh Khurana",Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"Comedy,Drama,Family",TV-14,9.0,Yeh Meri Family,2018
"H. Jon Benjamin,Judy Greer,Amber Nash",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"Animation,Action,Comedy",TV-MA,8.6,Archer,2009– 
"Yoshitsugu Matsuoka,Natsuki Hanae,Zach Aguilar","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Animation,Action,Adventure",TV-MA,8.7,Demon Slayer: Kimetsu no Yaiba,2019– 
"John DiMaggio,Tom Kenny,Jeremy Shada","A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.","Animation,Action,Adventure",TV-PG,8.6,Adventure Time,2010–2018
"Danny Glover,Tommy Lee Jones,Robert Duvall",Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,"Adventure,Drama,Western",TV-14,8.7,Lonesome Dove,1989
"Arun Govil,Sunil Lahri,Deepika Chikhalia","An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.","Adventure,Drama,Family",TV-14,9.0,Ramayan,1987–1988
"Shaun Dooley,Olly Alexander,Nathaniel Curtis","A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.","Comedy,Drama,History",TV-MA,8.7,It's a Sin,2021
"Liam O'Brien,Hidenobu Kiuchi,Mamiko Noto",A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,"Animation,Crime,Drama",TV-14,8.7,Monster,2004–2005
"Vincent D'Onofrio,Charlie Cox,Deborah Ann Woll","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Action,Crime,Drama",TV-MA,8.6,Daredevil,2015–2018
"Sofia Helin,Rafael Pettersson,Sarah Boberg","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.","Crime,Mystery,Thriller",TV-MA,8.6,The Bridge,2011–2018
