actor,description,genre,public,score,title,year
"Bob Odenkirk,Rhea Seehorn,Jonathan Banks",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,"Crime,Drama",TV-MA,8.9,Better Call Saul,2015–2022
"Alec Baldwin,Chadden Hunter,David Attenborough",Focuses on life and the environment in both the Arctic and Antarctic.,Documentary,TV-PG,9.0,Frozen Planet,2011–2012
"Alan Tudyk,Gina Torres,Nathan Fillion","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","Adventure,Drama,Sci-Fi",TV-14,9.0,Firefly,2002–2003
"John Hurt,Roger Munns",A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,Documentary,TV-PG,9.0,Human Planet,2011
"Steve Carell,Jenna Fischer,John Krasinski","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Comedy,TV-14,9.0,The Office,2005–2013
"Pierce Brosnan,Peter Scoones,David Attenborough","Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",Documentary,TV-G,9.0,The Blue Planet,2001
"Kevin Alejandro,Jason Spisak,Hailee Steinfeld","Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.","Animation,Action,Adventure",TV-14,9.0,Arcane,2021– 
"Josh Grelle,Yûki Kaji,Bryce Papenbrook","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Animation,Action,Adventure",TV-MA,9.0,Attack on Titan,2013–2023
"Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher","Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.","Biography,Crime,Drama",TV-14,9.3,Scam 1992: The Harshad Mehta Story,2020
"Efrem Zimbalist Jr.,Kevin Conroy,Loren Lester",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Animation,Action,Adventure",TV-PG,9.0,Batman: The Animated Series,1992–1995
"Peter Coyote,James Willbanks,Huy Duc",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"Documentary,History,War",TV-MA,9.1,The Vietnam War,2017
"Rico Romaniuk,Melanie Zanetti,David McCormack",The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,"Animation,Family",TV-Y,9.5,Bluey,2018– 
"Una Stubbs,Benedict Cumberbatch,Martin Freeman",A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,"Crime,Drama,Mystery",TV-14,9.1,Sherlock,2010–2017
"Robert McCord,Jay Overholts,Rod Serling","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Drama,Fantasy,Horror",TV-PG,9.1,The Twilight Zone,1959–1964
"Doug Allan,David Attenborough,Oprah Winfrey",David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,Documentary,TV-G,9.1,Life,2009
"Phil Jackson,Scottie Pippen,Michael Jordan","Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","Documentary,Biography,History",TV-MA,9.1,The Last Dance,2020
"Matthew Leonhart,Kent Williams,Iemasa Kayumi",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Animation,Action,Adventure",TV-14,9.1,Fullmetal Alchemist: Brotherhood,2009–2010
"Chris Parnell,Spencer Grammer,Justin Roiland",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Animation,Adventure,Comedy",TV-14,9.1,Rick and Morty,2013– 
"Laurence Olivier,Albert Speer,Averell Harriman","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Documentary,History,War",TV-PG,9.2,The World at War,1973–1974
