actor,description,genre,public,score,title,year
"Philip Jackson,Hugh Fraser,David Suchet","The cases of eccentric, but sharp, Belgian detective Hercule Poirot.","Crime,Drama,Mystery",TV-14,8.6,Poirot,1989–2013
"Michael Stuhlbarg,Peter Sarsgaard,Michael Keaton","The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",Drama,TV-MA,8.6,Dopesick,2021
"Robin Driscoll,Rowan Atkinson,Matilda Ziegler","Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.","Comedy,Family",TV-G,8.6,Mr. Bean,1990–1995
"R.H. Thomson,Geraldine James,Amybeth McNulty","The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","Drama,Family",TV-PG,8.7,Anne with an E,2017–2019
"Kit Connor,Yasmin Finney,Joe Locke",Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,"Drama,Romance",TV-14,8.7,Heartstopper,2022– 
"Ayumu Murase,Kaito Ishikawa,Yu Hayashi","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","Animation,Comedy,Drama",TV-14,8.7,Haikyu!!,2014–2020
"Miles Teller,Matthew Goode,Dan Fogler",Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,"Biography,Drama",TV-MA,8.7,The Offer,2022
"Nolan North,Jesse McCartney,Danica McKellar",Teenage superheroes strive to prove themselves as members of the Justice League.,"Animation,Action,Adventure",TV-PG,8.6,Young Justice,2010–2022
"Tony Robinson,Rowan Atkinson,Hugh Laurie","In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",Comedy,TV-PG,8.6,Blackadder the Third,1987
"Luke Grimes,Kelly Reilly,Kevin Costner",A ranching family in Montana faces off against others encroaching on their land.,"Drama,Western",TV-MA,8.7,Yellowstone,2018–2023
"Marco D'Amore,Ivana Lotito,Salvatore Esposito",Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,"Crime,Drama,Thriller",TV-MA,8.7,Gomorrah,2014–2021
"Michael J. Nelson,Trace Beaulieu,Joel Hodgson","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.","Comedy,Sci-Fi",TV-14,8.7,Mystery Science Theater 3000,1988–1999
"Rosalie Williams,Edward Hardwicke,Jeremy Brett","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.","Crime,Drama,Mystery",TV-PG,8.7,The Return of Sherlock Holmes,1986–1988
"Jonathan Groff,Holt McCallany,Anna Torv","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Crime,Drama,Mystery",TV-MA,8.6,Mindhunter,2017–2019
"Akarsh Khurana,Mona Singh,Vishesh Bansal",Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"Comedy,Drama,Family",TV-14,9.0,Yeh Meri Family,2018
"Amber Nash,H. Jon Benjamin,Judy Greer",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"Animation,Action,Comedy",TV-MA,8.6,Archer,2009– 
"Yoshitsugu Matsuoka,Zach Aguilar,Natsuki Hanae","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Animation,Action,Adventure",TV-MA,8.7,Demon Slayer: Kimetsu no Yaiba,2019– 
"Jeremy Shada,Tom Kenny,John DiMaggio","A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.","Animation,Action,Adventure",TV-PG,8.6,Adventure Time,2010–2018
"Danny Glover,Robert Duvall,Tommy Lee Jones",Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,"Adventure,Drama,Western",TV-14,8.7,Lonesome Dove,1989
"Arun Govil,Deepika Chikhalia,Sunil Lahri","An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.","Adventure,Drama,Family",TV-14,9.0,Ramayan,1987–1988
"Olly Alexander,Nathaniel Curtis,Shaun Dooley","A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.","Comedy,Drama,History",TV-MA,8.7,It's a Sin,2021
"Liam O'Brien,Hidenobu Kiuchi,Mamiko Noto",A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,"Animation,Crime,Drama",TV-14,8.7,Monster,2004–2005
"Charlie Cox,Deborah Ann Woll,Vincent D'Onofrio","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Action,Crime,Drama",TV-MA,8.6,Daredevil,2015–2018
"Sofia Helin,Rafael Pettersson,Sarah Boberg","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.","Crime,Mystery,Thriller",TV-MA,8.6,The Bridge,2011–2018
"Tony Robinson,Rowan Atkinson,Tim McInnerny","In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",Comedy,TV-PG,8.6,Blackadder II,1986
"Liam O'Brien,Matthew Mercer,Marisha Ray","A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.","Adventure,Fantasy",TV-14,9.3,Critical Role,2015– 
"Jun Fukuyama,Johnny Yong Bosch,Takahiro Sakurai","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","Animation,Action,Drama",TV-14,8.7,Code Geass,2006–2008
"Fred Tatasciore,Laëtitia Eïdo,Aaron LaPlante",A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,"Animation,Action,Adventure",TV-MA,8.7,Primal,2019– 
"Takayuki Sugô,Johnny Yong Bosch,Masakazu Morita","The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","Animation,Action,Adventure",TV-MA,9.0,Bleach: Thousand-Year Blood War,2022– 
"Gary Napoli,Robert Durst,Andrew Jarecki","Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.","Documentary,Biography,Crime",TV-14,8.6,The Jinx: The Life and Deaths of Robert Durst,2015
"Maile Flanagan,Junko Takeuchi,Alexandre Crepet","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","Animation,Action,Adventure",TV-PG,8.7,Naruto: Shippuden,2007–2017
"Donald Glover,Brian Tyree Henry,LaKeith Stanfield","Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.","Comedy,Drama,Music",TV-MA,8.6,Atlanta,2016–2022
"Jennifer Carpenter,Michael C. Hall,David Zayas","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.","Crime,Drama,Mystery",TV-MA,8.7,Dexter,2006–2013
"David Duchovny,Gillian Anderson,Mitch Pileggi","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","Crime,Drama,Mystery",TV-14,8.6,The X-Files,1993–2018
"Nick Offerman,Amy Poehler,Jim O'Heir",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Comedy,TV-14,8.6,Parks and Recreation,2009–2015
"Sterling K. Brown,Milo Ventimiglia,Mandy Moore","A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.","Comedy,Drama,Romance",TV-14,8.7,This Is Us,2016–2022
"Ian McShane,Timothy Olyphant,Molly Parker","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","Crime,Drama,History",TV-MA,8.6,Deadwood,2004–2006
"Frank Kelly,Ardal O'Hanlon,Dermot Morgan","Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",Comedy,TV-14,8.7,Father Ted,1995–1998
"Inanç Konukçu,Erdal Besikçioglu,Ege Aydan","Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual duel between Behzat Ç. and the rotten department officials and bureaucrats.","Crime,Drama,Mystery",TV-14,8.9,Behzat Ç.: Bir Ankara Polisiyesi,2010–2019
"Abhilash Thapliyal,Naveen Kasturia,Shivankit Singh Parihar",It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,Drama,,9.2,Aspirants,2021– 
"Mukesh Khanna,Nitish Bharadwaj,Harish Bhimani","When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.","Adventure,Drama,History",TV-14,9.0,Mahabharat,1988–1990
"Olivia Colman,Claire Foy,Imelda Staunton",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,"Biography,Drama,History",TV-MA,8.6,The Crown,2016–2023
"Adrian Dunbar,Vicky McClure,Martin Compston","Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","Crime,Drama,Mystery",TV-14,8.7,Line of Duty,2012–2021
"Peter Capaldi,James Smith,Chris Addison",The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,Comedy,TV-MA,8.7,The Thick of It,2005–2012
"Sam Elliott,Tim McGraw,Faith Hill",Follows the Dutton family as they embark on a journey west.,"Drama,Western",TV-MA,8.7,1883,2021–2022
"Kevin Conroy,Phil LaMarr,George Newbern",A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,"Animation,Action,Adventure",TV-Y7-FV,8.7,Justice League Unlimited,2004–2006
"Richard Hammond,James May,Jeremy Clarkson","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","Adventure,Comedy,Sport",TV-PG,8.7,Top Gear,2002– 
"Robin Wright,Kevin Spacey,Michel Gill",A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,Drama,TV-MA,8.7,House of Cards,2013–2018
"James May,Richard Hammond,Jeremy Clarkson","Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.","Comedy,Sport,Talk-Show",TV-14,8.7,The Grand Tour,2016– 
"Connie Britton,Kyle Chandler,Zach Gilford","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","Drama,Sport",TV-14,8.7,Friday Night Lights,2006–2011
"Marc Diraison,Nobutoshi Canna,Carrie Keranen","Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.","Animation,Action,Adventure",TV-MA,8.7,Berserk,1997–1998
"Alex Borstein,Rachel Brosnahan,Michael Zegen","After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?","Comedy,Drama",TV-MA,8.7,The Marvelous Mrs. Maisel,2017–2023
"Rosalie Williams,David Burke,Jeremy Brett","Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.","Crime,Drama,Mystery",TV-PG,8.7,The Adventures of Sherlock Holmes,1984–1985
"Brent Spiner,Patrick Stewart,Jonathan Frakes","Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","Action,Adventure,Sci-Fi",TV-PG,8.7,Star Trek: The Next Generation,1987–1994
"Sumeet Raghavan,Satish Shah,Ratna Pathak Shah","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.",Comedy,TV-PG,9.0,Sarabhai V/S Sarabhai,2004–2017
"Robert Webb,David Mitchell,Matt King",Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,Comedy,TV-MA,8.7,Peep Show,2003–2015
"Elisabeth Moss,Vincent Kartheiser,Jon Hamm","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Drama,TV-MA,8.7,Mad Men,2007–2015
"Winona Ryder,Finn Wolfhard,Millie Bobby Brown","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Drama,Fantasy,Horror",TV-14,8.7,Stranger Things,2016–2024
"J.K. Simmons,Steven Yeun,Sandra Oh",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"Animation,Action,Adventure",TV-MA,8.7,Invincible,2021– 
"Adam Scott,Britt Lower,Zach Cherry","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Drama,Mystery,Sci-Fi",TV-MA,8.7,Severance,2022– 
"Mike Haimoto,Yûto Uemura,Alejandro Saab",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,"Animation,Action,Adventure",TV-MA,8.8,Vinland Saga,2019– 
"Hugh Bonneville,Elizabeth McGovern,Phyllis Logan",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Drama,Romance",TV-PG,8.7,Downton Abbey,2010–2015
"Chandan Roy,Raghuvir Yadav,Jitendra Kumar","A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.","Comedy,Drama",TV-14,8.9,Panchayat,2020– 
"Robert Sean Leonard,Hugh Laurie,Omar Epps",An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Drama,Mystery",TV-14,8.7,House,2004–2012
"Mary McDonnell,Jamie Bamber,Edward James Olmos","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.","Action,Adventure,Drama",TV-14,8.7,Battlestar Galactica,2004–2009
"Michael Jace,Walton Goggins,Michael Chiklis",Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,"Crime,Drama,Thriller",TV-MA,8.7,The Shield,2002–2008
"Pedro Pascal,Chris Bartlett,Katee Sackhoff","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Action,Adventure,Fantasy",TV-14,8.7,The Mandalorian,2019– 
"Kaito Ishikawa,Makoto Furukawa,Max Mittelman","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Animation,Action,Comedy",TV-PG,8.7,One Punch Man,2015–2019
"Harry Shearer,Dan Castellaneta,Nancy Cartwright",The satiric adventures of a working-class family in the misfit city of Springfield.,"Animation,Comedy",TV-14,8.7,The Simpsons,1989– 
"Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta","Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.","Comedy,Drama,Family",,9.1,Gullak,2019– 
"Olivia Colman,Sian Clifford,Phoebe Waller-Bridge",A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Comedy,Drama",TV-MA,8.7,Fleabag,2016–2019
"Portia de Rossi,Jason Bateman,Michael Cera","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",Comedy,TV-14,8.7,Arrested Development,2003–2019
"Antony Starr,Karl Urban,Jack Quaid",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Action,Comedy,Crime",TV-MA,8.7,The Boys,2019– 
"Kana Hanazawa,Asami Imai,Mamoru Miyano","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Animation,Comedy,Drama",TV-14,8.8,Steins;Gate,2011–2015
"Louis Hofmann,Karoline Eichhorn,Lisa Vicari","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","Crime,Drama,Mystery",TV-MA,8.7,Dark,2017–2020
"Ernie Hudson,J.K. Simmons,Lee Tergesen",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"Crime,Drama,Thriller",TV-MA,8.7,Oz,1997–2003
"Hannah Waddingham,Jason Sudeikis,Brett Goldstein","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","Comedy,Drama,Sport",TV-MA,8.8,Ted Lasso,2020– 
"Cillian Murphy,Paul Anderson,Sophie Rundle","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Crime,Drama",TV-MA,8.8,Peaky Blinders,2013–2022
"Mayur More,Ranjan Raj,Jitendra Kumar","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Comedy,Drama",TV-14,9.0,Kota Factory,2019–2021
"Peter Krause,Frances Conroy,Michael C. Hall",A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Comedy,Drama",TV-MA,8.7,Six Feet Under,2001–2005
"Polly Walker,Kevin McKidd,Ray Stevenson",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Action,Drama,Romance",TV-MA,8.7,Rome,2005–2007
"Elijah Wood,Melanie Lynskey,Collin Dean",Two brothers find themselves lost in a mysterious land and try to find their way home.,"Animation,Short,Adventure",TV-PG,8.8,Over the Garden Wall,2014
"Matt Stone,Isaac Hayes,Trey Parker","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Animation,Comedy",TV-14,8.7,South Park,1997– 
"John Hurt,Siân Phillips,Derek Jacobi","The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","Biography,Drama,History",Not Rated,8.8,"I, Claudius",1976
"Kyle Hebert,Masako Nozawa,Jôji Yanami","The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Animation,Action,Adventure",TV-PG,8.8,Dragon Ball Z,1989–1996
"Tony Beck,Laurent Vernin,Mayumi Tanaka","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Animation,Action,Adventure",TV-14,8.9,One Piece,1999– 
"Dave Chappelle,Donnell Rawlings,Rudy Rush",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Comedy,Music",TV-MA,8.8,Chappelle's Show,2003–2006
"Scott McNeil,Doc Harris,Christopher Sabat","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Animation,Action,Adventure",TV-PG,8.8,Dragon Ball Z,1989–1996
"Pedro Pascal,Boyd Holbrook,Wagner Moura","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography,Crime,Drama",TV-MA,8.8,Narcos,2015–2017
"Michaela Coel,Daniel Lapaine,Hannah John-Kamen","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Drama,Mystery,Sci-Fi",TV-MA,8.8,Black Mirror,2011–2019
"Will Arnett,Amy Sedaris,Alison Brie","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Animation,Comedy,Drama",TV-MA,8.8,BoJack Horseman,2014–2020
"Michael Ontkean,Kyle MacLachlan,Mädchen Amick",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Crime,Drama,Mystery",TV-MA,8.8,Twin Peaks,1990–1991
"Tony Robinson,Stephen Fry,Rowan Atkinson","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Comedy,War",TV-PG,8.8,Blackadder Goes Forth,1989
"John Francis Daley,James Franco,Linda Cardellini",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Comedy,Drama",TV-14,8.8,Freaks and Geeks,1999–2000
"Susannah Harker,Colin Firth,Jennifer Ehle","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Drama,Romance",TV-PG,8.8,Pride and Prejudice,1995
"Nicholas Braun,Kieran Culkin,Brian Cox","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Comedy,Drama",TV-MA,8.8,Succession,2018–2023
"John Cleese,Prunella Scales,Andrew Sachs","Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",Comedy,TV-PG,8.8,Fawlty Towers,1975–1979
"Ali Atay,Cengiz Bozkurt,Ahmet Mümtaz Taylan","Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","Adventure,Comedy,Drama",TV-PG,9.1,Leyla and Mecnun,2011–2023
"Cheryl Hines,Larry David,Jeff Garlin",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,Comedy,TV-MA,8.8,Curb Your Enthusiasm,2000– 
"Martin Sheen,Rob Lowe,Allison Janney",Inside the lives of staffers in the West Wing of the White House.,Drama,TV-14,8.9,The West Wing,1999–2006
"Kivanç Kilinç,Feyyaz Yigit,Ahmet Kürsat Öçalan",Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,Comedy,,9.0,As If,2021– 
"Klaus Wennemann,Herbert Grönemeyer,Jürgen Prochnow",A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"Drama,War",TV-MA,8.8,Das Boot,1985
"Bella Ramsey,Pedro Pascal,Anna Torv","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Action,Adventure,Drama",TV-MA,8.9,The Last of Us,2023– 
"Kerry Godliman,Greg Davies,Alex Horne","Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.","Comedy,Game-Show",TV-14,9.0,Taskmaster,2015– 
"John Cleese,Terry Gilliam,Graham Chapman",The original surreal sketch comedy showcase for the Monty Python troupe.,Comedy,TV-14,8.8,Monty Python's Flying Circus,1969–1974
"Charlie Day,Rob McElhenney,Kaitlin Olson",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Comedy,TV-MA,8.8,It's Always Sunny in Philadelphia,2005– 
"Arunabh Kumar,Naveen Kasturia,Abhay Mahajan",A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"Comedy,Drama",TV-MA,9.1,TVF Pitchers,2015–2022
"Simon Blakeney,Mark Deeble,David Attenborough","Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",Documentary,TV-PG,8.9,Africa,2013
"Mathieu Kassovitz,Rudolf Hess,Martin Sheen","This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.","Documentary,History,War",TV-MA,9.0,Apocalypse: The Second World War,2009
"Courteney Cox,Lisa Kudrow,Jennifer Aniston",Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,"Comedy,Romance",TV-14,8.9,Friends,1994–2004
"John Oliver,Ryan Barger,David Kaye",Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"Comedy,News,Talk-Show",TV-MA,8.9,Last Week Tonight with John Oliver,2014– 
"Asante Blackk,Ethan Herisse,Caleel Harris",Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"Biography,Crime,Drama",TV-MA,8.9,When They See Us,2019
"Kristen Schaal,Jason Ritter,Alex Hirsch","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Animation,Adventure,Comedy",TV-Y7,8.9,Gravity Falls,2012–2016
"Nathan Fielder,Salomon Flores,Anthony Filosa","Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","Documentary,Comedy",TV-14,8.9,Nathan for You,2013–2017
"Megumi Hayashibara,Unshô Ishizuka,Kôichi Yamadera",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Animation,Action,Adventure",TV-14,8.9,Cowboy Bebop,1998–1999
